operational_phase,heart_rate_bpm,core_body_temp_c,hydration_percent,fatigue_index,spo2,respiration_rate,movement_intensity_g,blood_pressure_sys_mmHg,blood_pressure_dia_mmHg,stress_level_0_100,energy_expenditure_kcal_hr,sleep_debt_hours,ambient_temp_c
combat,146,38.55,69,68.1,93,33,1.45,155,96,86,780,4.6,36
recovery,102,37.6,78,44.15,97,22,0.5,134,86,37,380,3.6,27
rest,60,36.95,92,10.05,99,12,0.17,121,76,13,90,0.5,24
patrol,91,37.3,84,30,97,19,0.35,128,83,34,300,1.5,30
training,117,38.05,76,48.05,95,26,0.8,143,90,60,520,3.0,33
combat,145,38.6,69,68.1,93,32,1.5,156,95,85,780,4.6,36
recovery,101,37.65,78,44.15,97,21,0.55,135,85,36,380,3.6,27
rest,62,36.8,92,10.05,99,14,0.02,118,78,12,90,0.5,24
patrol,90,37.35,84,30,97,18,0.4,129,82,33,300,1.5,30
training,116,38.1,76,48.05,95,25,0.85,144,89,59,520,3.0,33
combat,147,38.65,69,68.1,93,34,1.55,157,97,90,780,4.6,36
recovery,100,37.5,78,44.15,97,20,0.4,132,84,35,380,3.6,27
rest,61,36.85,92,10.05,99,13,0.07,119,77,11,90,0.5,24
patrol,92,37.4,84,30,97,20,0.45,130,84,32,300,1.5,30
training,115,38.15,76,48.05,95,24,0.9,145,88,58,520,3.0,33
combat,146,38.5,69,68.1,93,33,1.4,154,96,89,780,4.6,36
recovery,102,37.55,78,44.15,97,22,0.45,133,86,40,380,3.6,27
rest,60,36.9,92,10.05,99,12,0.12,120,76,10,90,0.5,24
patrol,91,37.45,84,30,97,19,0.5,131,83,31,300,1.5,30
training,117,38.0,76,48.05,95,26,0.75,142,90,57,520,3.0,33
combat,145,38.55,69,68.1,93,32,1.45,155,95,88,780,4.6,36
recovery,101,37.6,78,44.15,97,21,0.5,134,85,39,380,3.6,27
rest,62,36.95,92,10.05,99,14,0.17,121,78,15,90,0.5,24
patrol,90,37.3,84,30,97,18,0.35,128,82,30,300,1.5,30
training,116,38.05,76,48.05,95,25,0.8,143,89,56,520,3.0,33
combat,147,38.6,69,68.1,93,34,1.5,156,97,87,780,4.6,36
recovery,100,37.65,78,44.15,97,20,0.55,135,84,38,380,3.6,27
rest,61,36.8,92,10.05,99,13,0.02,118,77,14,90,0.5,24
patrol,92,37.35,84,30,97,20,0.4,129,84,35,300,1.5,30
training,115,38.1,76,48.05,95,24,0.85,144,88,55,520,3.0,33
combat,146,38.65,69,68.1,93,33,1.55,157,96,86,780,4.6,36
recovery,102,37.5,78,44.15,97,22,0.4,132,86,37,380,3.6,27
rest,60,36.85,92,10.05,99,12,0.07,119,76,13,90,0.5,24
patrol,91,37.4,84,30,97,19,0.45,130,83,34,300,1.5,30
training,117,38.15,76,48.05,95,26,0.9,145,90,60,520,3.0,33
combat,145,38.5,69,68.1,93,32,1.4,154,95,85,780,4.6,36
recovery,101,37.55,78,44.15,97,21,0.45,133,85,36,380,3.6,27
rest,62,36.9,92,10.05,99,14,0.12,120,78,12,90,0.5,24
patrol,90,37.45,84,30,97,18,0.5,131,82,33,300,1.5,30
training,116,38.0,76,48.05,95,25,0.75,142,89,59,520,3.0,33
combat,147,38.55,69,68.1,93,34,1.45,155,97,90,780,4.6,36
recovery,100,37.6,78,44.15,97,20,0.5,134,84,35,380,3.6,27
rest,61,36.95,92,10.05,99,13,0.17,121,77,11,90,0.5,24
patrol,92,37.3,84,30,97,20,0.35,128,84,32,300,1.5,30
training,115,38.05,76,48.05,95,24,0.8,143,88,58,520,3.0,33
combat,146,38.6,69,68.1,93,33,1.5,156,96,89,780,4.6,36
recovery,102,37.65,78,44.15,97,22,0.55,135,86,40,380,3.6,27
rest,60,36.8,92,10.05,99,12,0.02,118,76,10,90,0.5,24
patrol,91,37.35,84,30,97,19,0.4,129,83,31,300,1.5,30
training,117,38.1,76,48.05,95,26,0.85,144,90,57,520,3.0,33
combat,145,38.65,69,68.1,93,32,1.55,157,95,88,780,4.6,36
recovery,101,37.5,78,44.15,97,21,0.4,132,85,39,380,3.6,27
rest,62,36.85,92,10.05,99,14,0.07,119,78,15,90,0.5,24
patrol,90,37.4,84,30,97,18,0.45,130,82,30,300,1.5,30
training,116,38.15,76,48.05,95,25,0.9,145,89,56,520,3.0,33
combat,147,38.5,69,68.1,93,34,1.4,154,97,87,780,4.6,36
recovery,100,37.55,78,44.15,97,20,0.45,133,84,38,380,3.6,27
rest,61,36.9,92,10.05,99,13,0.12,120,77,14,90,0.5,24
patrol,92,37.45,84,30,97,20,0.5,131,84,35,300,1.5,30
training,115,38.0,76,48.05,95,24,0.75,142,88,55,520,3.0,33
combat,146,38.55,69,68.1,93,33,1.45,155,96,86,780,4.6,36
recovery,102,37.6,78,44.15,97,22,0.5,134,86,37,380,3.6,27
rest,60,36.95,92,10.05,99,12,0.17,121,76,13,90,0.5,24
patrol,91,37.3,84,30,97,19,0.35,128,83,34,300,1.5,30
training,117,38.05,76,48.05,95,26,0.8,143,90,60,520,3.0,33
combat,145,38.6,69,68.1,93,32,1.5,156,95,85,780,4.6,36
recovery,101,37.65,78,44.15,97,21,0.55,135,85,36,380,3.6,27
rest,62,36.8,92,10.05,99,14,0.02,118,78,12,90,0.5,24
patrol,90,37.35,84,30,97,18,0.4,129,82,33,300,1.5,30
training,116,38.1,76,48.05,95,25,0.85,144,89,59,520,3.0,33
combat,147,38.65,69,68.1,93,34,1.55,157,97,90,780,4.6,36
recovery,100,37.5,78,44.15,97,20,0.4,132,84,35,380,3.6,27
rest,61,36.85,92,10.05,99,13,0.07,119,77,11,90,0.5,24
patrol,92,37.4,84,30,97,20,0.45,130,84,32,300,1.5,30
training,115,38.15,76,48.05,95,24,0.9,145,88,58,520,3.0,33
combat,146,38.5,69,68.1,93,33,1.4,154,96,89,780,4.6,36
recovery,102,37.55,78,44.15,97,22,0.45,133,86,40,380,3.6,27
rest,60,36.9,92,10.05,99,12,0.12,120,76,10,90,0.5,24
patrol,91,37.45,84,30,97,19,0.5,131,83,31,300,1.5,30
training,117,38.0,76,48.05,95,26,0.75,142,90,57,520,3.0,33
combat,145,38.55,69,68.1,93,32,1.45,155,95,88,780,4.6,36
recovery,101,37.6,78,44.15,97,21,0.5,134,85,39,380,3.6,27
rest,62,36.95,92,10.05,99,14,0.17,121,78,15,90,0.5,24
patrol,90,37.3,84,30,97,18,0.35,128,82,30,300,1.5,30
training,116,38.05,76,48.05,95,25,0.8,143,89,56,520,3.0,33
combat,147,38.6,69,68.1,93,34,1.5,156,97,87,780,4.6,36
recovery,100,37.65,78,44.15,97,20,0.55,135,84,38,380,3.6,27
rest,61,36.8,92,10.05,99,13,0.02,118,77,14,90,0.5,24
patrol,92,37.35,84,30,97,20,0.4,129,84,35,300,1.5,30
training,115,38.1,76,48.05,95,24,0.85,144,88,55,520,3.0,33
combat,146,38.65,69,68.1,93,33,1.55,157,96,86,780,4.6,36
recovery,102,37.5,78,44.15,97,22,0.4,132,86,37,380,3.6,27
rest,60,36.85,92,10.05,99,12,0.07,119,76,13,90,0.5,24
patrol,91,37.4,84,30,97,19,0.45,130,83,34,300,1.5,30
training,117,38.15,76,48.05,95,26,0.9,145,90,60,520,3.0,33
combat,145,38.5,69,68.1,93,32,1.4,154,95,85,780,4.6,36
recovery,101,37.55,78,44.15,97,21,0.45,133,85,36,380,3.6,27
rest,62,36.9,92,10.05,99,14,0.12,120,78,12,90,0.5,24
patrol,90,37.45,84,30,97,18,0.5,131,82,33,300,1.5,30
training,116,38.0,76,48.05,95,25,0.75,142,89,59,520,3.0,33
combat,147,38.55,69,68.1,93,34,1.45,155,97,90,780,4.6,36
recovery,100,37.6,78,44.15,97,20,0.5,134,84,35,380,3.6,27
rest,61,36.95,92,10.05,99,13,0.17,121,77,11,90,0.5,24
patrol,92,37.3,84,30,97,20,0.35,128,84,32,300,1.5,30
training,115,38.05,76,48.05,95,24,0.8,143,88,58,520,3.0,33
combat,146,38.6,69,68.1,93,33,1.5,156,96,89,780,4.6,36
recovery,102,37.65,78,44.15,97,22,0.55,135,86,40,380,3.6,27
rest,60,36.8,92,10.05,99,12,0.02,118,76,10,90,0.5,24
patrol,91,37.35,84,30,97,19,0.4,129,83,31,300,1.5,30
training,117,38.1,76,48.05,95,26,0.85,144,90,57,520,3.0,33
combat,145,38.65,69,68.1,93,32,1.55,157,95,88,780,4.6,36
recovery,101,37.5,78,44.15,97,21,0.4,132,85,39,380,3.6,27
rest,62,36.85,92,10.05,99,14,0.07,119,78,15,90,0.5,24
patrol,90,37.4,84,30,97,18,0.45,130,82,30,300,1.5,30
training,116,38.15,76,48.05,95,25,0.9,145,89,56,520,3.0,33
combat,147,38.5,69,68.1,93,34,1.4,154,97,87,780,4.6,36
recovery,100,37.55,78,44.15,97,20,0.45,133,84,38,380,3.6,27
rest,61,36.9,92,10.05,99,13,0.12,120,77,14,90,0.5,24
patrol,92,37.45,84,30,97,20,0.5,131,84,35,300,1.5,30
training,115,38.0,76,48.05,95,24,0.75,142,88,55,520,3.0,33
combat,146,38.55,69,68.1,93,33,1.45,155,96,86,780,4.6,36
recovery,102,37.6,78,44.15,97,22,0.5,134,86,37,380,3.6,27
rest,60,36.95,92,10.05,99,12,0.17,121,76,13,90,0.5,24
patrol,91,37.3,84,30,97,19,0.35,128,83,34,300,1.5,30
training,117,38.05,76,48.05,95,26,0.8,143,90,60,520,3.0,33
combat,145,38.6,69,68.1,93,32,1.5,156,95,85,780,4.6,36
recovery,101,37.65,78,44.15,97,21,0.55,135,85,36,380,3.6,27
